"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2026",70.257,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-64","2026",71.554,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-24","2026",51.381,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 25+","2026",79.936,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15+","2026",75.502,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-64","2026",76.426,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-24","2026",53.375,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 25+","2026",87.189,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15+","2026",65.131,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-64","2026",66.73,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-24","2026",49.356,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 25+","2026",72.989,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15+","2026",70.257,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15-24","2026",51.381,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 25-54","2026",83.805,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 55-64","2026",75.478,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 65+","2026",47.719,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2026",75.502,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2026",53.375,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 25-54","2026",90.376,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 55-64","2026",83.208,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 65+","2026",57.212,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15+","2026",65.131,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15-24","2026",49.356,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 25-54","2026",77.323,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 55-64","2026",68.506,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 65+","2026",40.356,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15+","2025",70.286,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-64","2025",71.571,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 15-24","2025",51.425,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Youth, adults): 25+","2025",79.986,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15+","2025",75.562,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-64","2025",76.475,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-24","2025",53.439,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 25+","2025",87.282,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15+","2025",65.133,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-64","2025",66.719,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-24","2025",49.38,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 25+","2025",73.001,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15+","2025",70.286,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15-24","2025",51.425,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 25-54","2025",83.842,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 55-64","2025",75.425,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 65+","2025",47.814,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2025",75.562,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2025",53.439,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 25-54","2025",90.451,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 55-64","2025",83.24,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 65+","2025",57.396,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15+","2025",65.133,
